what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232182807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232183541
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332232186446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232200794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232219388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232220369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232243273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232291807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232303971
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332232306418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332232321794
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332232324341
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332232325199
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332232325240
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332232326007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332232331183
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332232333295
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332232334619
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1332232336772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332232341349
